nom,adresse,adresse2,adresse3,code_postal,ville,email,tel,fax,web,wgs84
Centre culturel irlandais,"5, rue des Irlandais",,,75005,Paris,rbeaugendre@centreculturelirlandais.com,01 58 52 10 30,01 58 52 10 99,http://www.centreculturelirlandais.com,"48.8441893, 2.3460214"
Institut Culturel Finlandais,60 rue des Écoles,,,75005,Paris,marja.sakari@institut-finlandais.asso.fr,01 40 51 89 09,01 40 46 09 33,http://institut-finlandais.asso.fr/,"48.8501114, 2.3432972"
Centre culturel tchèque,18 rue Bonaparte,,,75006,Paris,ccparis@czech.cz,01 53 73 00 22,01 53 73 00 27,http://www.czechcentres.cz/paris,"48.8561337, 2.3342597"
Odéon - Théâtre de l'Europe,"2, rue Corneille",,,75006,Paris,odeon@theatre-odeon.fr,01 44 85 40 00,,http://www.theatre-odeon.fr,"48.849561, 2.338714"
Théâtre de Nesle,"8, rue de Nesle",,,75006,Paris,contact@galeriedenesle.com,01 43 25 25 41,01 43 25 00 00,http://www.galeriedenesle.com,"48.8547514, 2.3392438"
Centre culturel de Chine à Paris,1 boulevard de la Tour Maubourg,,,75007,Paris,,01 53 59 59 20,,http://www.cccparis.org,"48.8621458, 2.310561"
Institut Néérlandais,Centre culturel des Pays-Bas,121 rue de Lille,,75007,Paris,info@institutneerlandais.com,01 53 59 12 40,01 45 56 00 77,http://www.institutneerlandais.com/,"48.8614014, 2.3198785"
Espace Beaujon,"208, rue du faubourg Saint-Honoré",,,75008,Paris,info@ebeaujon.org,01 42 89 17 32,01 53 76 00 84,http://www.ebeaujon.org,"48.8752702, 2.3047383"
Instituto Cervantes à Paris,7 rue Quentin Bauchart,,,75008,Paris,cultupar@cervantes.es,01 40 70 92 92,01 47 20 27 49,http://paris.cervantes.es,"48.8692014, 2.2997077"
Studio SFR,"9, rue Tronchet",,,75008,Paris,,01 43 12 75 00,,http://www.lestudiosfr.fr,"48.8729387, 2.3268127"
Théâtre des Champs Élysées,"15, avenue Montaigne",,,75008,Paris,,01 49 52 50 00,,http://www.theatrechampselysees.fr,"48.865678, 2.303228"
Théâtre Tristan Bernard,"64, rue du Rocher",,,75008,Paris,tristan.bernard@akeonet.com,01 42 93 65 36,01 45 22 64 86,http://www.theatretristanbernard.fr/,"48.8787674, 2.3192052"
Centre audiovisuel Simone de Beauvoir,28 place Saint-Georges,,,75009,Paris,developpement@centre-simone-de-beauvoir.com,01 53 32 75 08,,http://www.centre-simone-de-beauvoir.com/,"48.8786538, 2.3378778"
Les Folies Bergère,"32, rue Richer",,,75009,Paris,jmd@jmdprod.com,01 44 79 98 60,01 44 79 98 61,http://www.foliesbergere.com,"48.874094, 2.344856"
International Visual Théâtre / IVT,"7, cité Chaptal",,,75009,Paris,contact@ivt.fr,01 53 16 18 10,01 53 16 18 19,http://www.ivt.fr,"48.8813252, 2.3329418"
Le Palace,"8, rue du faubourg Montmartre",,,75009,Paris,,,,http://www.theatrelepalace.fr,"48.872114, 2.343271"
Théâtre Fontaine,"10, rue Fontaine",,,75009,Paris,adm.fontaine@free.fr,01 48 74 30 68,01 48 78 37 44,http://www.theatrefontaine.com,"48.880957, 2.3347282"
Théâtre Saint-Georges,"51, rue Saint-Georges",,,75009,Paris,admi@theatre-saint-georges.com,01 48 78 74 37,01 45 26 98 00,http://www.theatre-saint-georges.com,"48.8782332, 2.3373477"
Le Brady Cinéma & Théâtre,39 boulevard de Strasbourg,,,75010,Paris,,,,,"48.8716629, 2.355382"
Institut kurde de Paris,106 rue Lafayette,,,75010,Paris,info@fikp.org,01 48 24 64 64,01 48 24 64 66,http://www.institutkurde.org,"48.8776574, 2.3510591"
Laurette Théâtre,"36, rue Bichat",,,75010,Paris,lelaurettetheatre@hotmail.fr,01 42 08 83 33,01 79 72 42 62,http://www.laurette-theatre.fr,"48.8715661, 2.3681149"
La Scène du Canal / Espace Jemmapes,"116, quai de Jemmapes",,,75010,Paris,www.myspace.com/espacejemmapes,,,http://www.jemmapes.com,"48.8748413, 2.3637445"
Théâtre du Petit Saint Martin,17 rue René Boulanger,,,75010,Paris,,,,http://www.petitsaintmartin.com/,"48.8692484, 2.356806"
L'Atelier de La Bonne Graine,"16, passage de la Bonne Graine",,,75011,Paris,poudre_de_sourire@yahoo.fr,01 43 57 40 47,,http://atelierbonnegraine.free.fr/,"48.8524309, 2.3766395"
L'Auguste Théâtre (ex Espace La Comedia),6 impasse Lamier,,,75011,Paris,espacelacomedia@gmail.com,01 43 67 20 47,01 43 67 20 47,http://www.la-comedia.com,"48.8582517, 2.3887446"
Comédie Bastille,"5, rue Nicolas Appert",,,75011,Paris,di.constant@comedie-bastille.com,01 48 07 27 28,01 48 07 07 15,http://www.comedie-bastille.com,"48.85883, 2.370123"
La Générale Nord-Est,"14, avenue Parmentier",,,75011,Paris,contact@lagenerale.fr,,,http://lagenerale.fr/,"48.8595247, 2.3794159"
La Maison des métallos,"94, rue Jean-Pierre Timbaud",,,75011,Paris,,01 48 05 88 27,01 48 05 88 21,http://www.maisondesmetallos.org,"48.8677178, 2.377904"
Nouveau Casino,"109, rue Oberkampf",,,75011,Paris,info@nouveaucasino.net,01 43 57 57 40,01 43 57 57 41,http://www.nouveaucasino.net/,"48.865863, 2.377842"
Théâtre André Bourvil,"13, rue des Boulets",,,75011,Paris,,,,,"48.8500288, 2.3908636"
Théâtre du Temps,"9, rue du Morvan",,,75011,Paris,programmation@theatredutemps.fr,01 43 55 10 88,,http://www.theatredutemps.fr,"48.8601054, 2.3817499"
Le China,"50, rue de Charenton",,,75012,Paris,communication@lechina.eu,01 43 46 22 05 (Simon Touchard),,http://www.lechina.eu/,"48.8499321, 2.3738641"
Parc Floral de Paris,Bois de Vincennes,,,75012,Paris,,,,,"48.8325756, 2.4183258"
Théâtre de La Tempête,La Cartoucherie,Route du Champs de Manœuvre,,75012,Paris,philippe.adrien@la-tempete.fr,01 43 74 94 07,01 43 74 14 51,http://www.la-tempete.fr,"48.836193, 2.448705"
Théâtre du Chaudron,La Cartoucherie,Route du Champ de Manœuvre,,75012,Paris,lechaudron@wanadoo.fr,01 43 28 97 04,01 43 28 40 15,http://www.theatreduchaudron.fr,"48.834738, 2.449387"
Bétonsalon - Centre d'art et de recherche,9 esplanade Pierre Vidal-Naquet,Rez-de-Chaussée de la Halle aux Farines,,75013,Paris,info@betonsalon.net,01 45 84 17 56,,http://www.betonsalon.net,"48.829261, 2.381731"
Médiathèque Jean-Pierre Melville à Paris,79 rue Nationale,,,75013,Paris,mediatheque.jean-pierre.melville@paris.fr,01 53 82 76 76,,,"48.8266697, 2.3665276"
Théâtre du Lierre,"22, rue de Chevaleret",,,75013,Paris,info.lierre@free.fr,01 45 86 55 83,01 45 86 82 89,http://www.letheatredulierre.com/,"48.826401, 2.378167"
Théâtre 13,"103 A, boulevard Auguste Blanqui",,,75013,Paris,contact@theatre13.com,01 45 88 62 22,01 45 89 42 41,http://www.theatre13.com,"48.8303701, 2.3456968"
Bibliothèque Vandamme à Paris,80 avenue du Maine,,,75014,Paris,bibliotheque.vandamme@paris.fr,01 43 22 42 18,,,"48.8385369, 2.3221472"
Théâtre de la Gaîté Montparnasse,"26, rue de la Gaîté",,,75014,Paris,gaite.contact@orange.fr,01 43 20 60 56,01 43 22 56 51,http://www.gaite.com,"48.8393115, 2.3232089"
Centre culturel algérien,171 rue de la Croix-Nivert,,,75015,Paris,contact@cca-paris.com,01 45 54 95 31,01 44 54 95 31,http://www.cca-paris.com,"48.8397081, 2.2901289"
Théâtre Silvia Monfort à Paris,Parc Georges Brassens,106 rue brancion,,75015,Paris,philippe.cumer@lemonfort.fr,01 56 08 33 88,01 45 31 15 71,http://www.lemonfort.fr,"48.8307974, 2.3001766"
Centre culturel du Yemen,25 rue Georges Bizet,,,75016,Paris,kalsalam@yaoo.com,01 53 23 87 84,01 47 23 69 41,http://www.ambyemenfrance.com,"48.867693, 2.296555"
Le Théâtre du Jardin,Jardin d'Acclimatation,Bois de Boulogne,,75016,Paris,contact@theatredujardin.fr,01 40 67 97 67,01 40 67 78 21,http://www.theatredujardin.fr,"48.877671, 2.269717"
Centre d'animation La Jonquière,"88, rue de la Jonquière",,,75017,Paris,accueil@ca-lajonquiere.com,01 42 29 78 79,,http://www.ca-lajonquiere.com/,"48.8947405, 2.3191423"
L'Atalante,"10, place Charles Dullin",,,75018,Paris,latalante.rp@gmail.com,01 42 23 17 29,,http://www.theatre-latalante.com/site/intro.html,"48.8833326, 2.3427713"
Le Caveau des artistes,"79, rue des Martyrs",,,75018,Paris,lecaveaudesartistes@noos.fr,01 42 54 90 43,01 42 54 90 34,,"48.882887, 2.339594"
Ciné 13 Théâtre,"1, avenue Junot",,,75018,Paris,ciné13théâtre@wanadoo.fr,01 42 51 13 79,01 42 54 73 42,http://www.cine13-theatre.com,"48.8875635, 2.3372608"
Lavoir Moderne Parisien,"35, rue Léon",,,75018,Paris,,,,http://www.rueleon.net,"48.8887648, 2.3535699"
Théâtre de Dix-Heures,"36, boulevard de Clichy",,,75018,Paris,contact@dix-heures.net,01 46 06 10 17,,http://www.dix-heures.net,"48.8828639, 2.3363746"
Théâtre des 2 Anes,"100, boulevard de Clichy",,,75018,Paris,deuxanes@yahoo.fr,01 46 06 10 64,,http://www.2anes.com,"48.884241, 2.3316917"
Théâtre Michel Galabru,"4, rue de l'Armée d'Orient",,,75018,Paris,resa.tmg@neuf.fr,01 42 23 15 85,,http://www.theatregalabru.com,"48.8872758, 2.3344816"
les trois baudets,"64, boulevard de clichy",,,75018,Paris,info@lestroisbaudets.com,01 42 62 33 33,,http://www.lestroisbaudets.com,"48.8834498, 2.3344631"
Bouffon Théâtre,"26, rue de Meaux",,,75019,Paris,contact@bouffontheatre.com,01 42 38 35 53,01 42 38 35 53,http://www.bouffontheatre.com,"48.879845, 2.3723014"
Cité de la Musique,"221, avenue Jean Jaurès",,,75019,Paris,directiongenerale@cite-musique.fr,01 44 84 44 84,,http://www.cite-musique.fr,"48.8895857, 2.3939185"
MK2 Quai de Seine,14 Quai de la Seine,,,75019,Paris,,,,,"48.885065, 2.371404"
Théâtre Darius Milhaud,"80, allée Darius Milhaud",,,75019,Paris,tdm4@orange.fr,01 42 01 92 26,01 42 49 00 22,http://www.theatredariusmilhaud.fr,"48.8859779, 2.3931757"
Théâtre des Deux Rêves,"5, passage de Thionville",,,75019,Paris,pandobastille@gmail.com,01 48 03 49 92,,http://www.deuxreves.org,"48.8879833, 2.3820727"
La Bellevilloise,"19, rue Boyer",,,75020,Paris,f.martinez@labellevilloise.com,01 53 27 35 77,01 53 27 35 70,http://www.labellevilloise.com,"48.868229, 2.392235"
Confluences,"190, boulevard de Charonne",,,75020,Paris,info@confluences.net,01 40 24 16 34,01 40 24 16 04,http://confluences.jimdo.com/,"48.8578182, 2.3925333"
Studio de l'Ermitage,"8, rue de l'Ermitage",,,75020,Paris,studioermitage@free.fr,,01 44 62 09 85,http://www.studio-ermitage.com,"48.8699891, 2.3916783"
Le Tarmac (scène internationale francophone),159 avenue Gambetta,,,75020,Paris,contact@letarmac.fr,01 40 31 20 96,01 43 64 07 50,http://www.letarmac.fr,"48.8703681, 2.4031773"
Théâtre Les Enfants terribles,"157, rue Pelleport",,,75020,Paris,contact@lesenfantsterribles.fr,01 46 36 19 66,01 46 36 19 66,http://www.lesenfantsterribles.fr/,"48.874185, 2.396586"
Tréteaux de France,11 rue Yvon Villarceau,,,75116,Paris,treteaux@treteauxdefrance.com,01 45 01 91 32,01 45 01 69 37,http://www.treteauxdefrance.com/,"48.8686964, 2.2872631"
Le Baiser salé,"58, rue des Lombards",,,75001,Paris,ivana@lebaisersale.com,01 42 33 37 71,,http://www.lebaisersale.om,"48.8597733, 2.3479173"
Les Déchargeurs,"3, rue des Déchargeurs",,,75001,Paris,infos@lesdechargeurs.fr,,01 42 36 15 22,http://www.lesdechargeurs.fr,"48.8596937, 2.3459332"
Forum des images,2 rue du Cinéma,Forum des Halles,Porte Saint-Eustache,75001,Paris,contact@forumdesimages.fr,01 44 76 63 00,01 44 76 62 00,http://www.forumdesimages.fr,"48.863642, 2.345617"
Théâtre du Palais Royal,"38, rue Montpensier",,,75001,Paris,tpr@theatrepalaisroyal.com,01 42 97 59 76,01 42 61 42 50,http://www.theatrepalaisroyal.com,"48.8661017, 2.3374868"
La Pépinière Opéra,"7, rue Louis-le-Grand",,,75002,Paris,contact@theatrelapepiniere.com,01 42 61 42 53,01 42 60 36 34,http://theatrelapepiniere.com/,"48.8686693, 2.3324107"
Théâtre des Variétés,"7, boulevard Montmartre",,,75002,Paris,,01 42 33 11 41,01 42 33 83 62,http://www.theatre-des-varietes.fr,"48.8714945, 2.3422074"
Centre culturel suédois,Hôtel de Marle,"11, rue Payenne",,75003,Paris,info@ccs.si.se,01 44 78 80 20,01 44 78 80 27,http://www.si.se,"48.8581638, 2.362247"
Galerie numeriscausa,"53, bd Beaumarchais",,,75003,Paris,contact@numeriscausa.com,01 42 78 24 26,,http://www.numeriscausa.com,"48.8572088, 2.3681049"
Bibliothèque Forney à Paris,1 rue du Figuier,,,75004,Paris,bibliotheque.forney@paris.fr,01 42 78 14 60,,,"48.8534584, 2.3590394"
Centre Georges Pompidou,Place Georges Pompidou,,,75004,Paris,vivant.spectacle@centrepompidou.fr,,,http://www.centrepompidou.fr,"48.860646, 2.352237"
Théâtre de l'Ile Saint-Louis - Paul Rey,"39, quai d'Anjou",,,75004,Paris,contact@theatre-ilesaintlouis.com,01 46 33 48 65,01 46 33 48 65,http://www.theatre-ilesaintlouis.com,"48.8523192, 2.3573231"
Bibliothèque Mouffetard à Paris,74 rue Mouffetard,,,75005,Paris,bibliotheque.mouffetard@paris.fr,01 43 37 96 54,,,"48.8425926, 2.3497862"
Centre culturel d'Egypte à Paris,111 bd Saint-Michel,,,75005,Paris,centre@culture-egypte.com,01 46 33 75 67,01 43 26 18 83,http://www.culture-egypte.com,"48.8434867, 2.3389465"
Espace Saint-Michel,7 place Saint-Michel,,,75005,Paris,espacesaintmichel@fr.st,01 44 07 20 49,,http://cinemasaintmichel.free.fr/,"48.8531155, 2.344223"
Centre culturel iranien,6 rue Jean Bart,,,75006,Paris,cci@cciran.com,01 45 49 19 20,01 45 49 31 34,http://paris.icro.ir/,"48.8477845, 2.3309318"
Maison des Pratiques Artistiques Amateurs,Auditorium Saint-Germain,"4, rue Félibien",,75006,Paris,contact@mpaa.fr,01 46 34 68 58,01 46 34 68 71,http://www.mpaa.fr,"48.8519141, 2.3367057"
Poche Montparnasse,"75, boulevard du Montparnasse",,,75006,Paris,montparnasse.theatre-de-poche@wanadoo.fr,01 45 48 92 97,01 42 84 12 91,,"48.8436849, 2.3251231"
Centre Culturel Canadien,5 rue de Constantine,,,75007,Paris,infos@www.canada-culture.org,01 44 43 21 90,01 44 43 21 99,,"48.8605297, 2.3150056"
Institut Culturel Italien de Paris,73 rue de Grenelle,,,75007,Paris,iicparigi@esteri.it,01 44 39 49 39,01 42 22 37 88,http://www.iicparigi.esteri.it/,"48.8553397, 2.3239852"
Elysées Biarritz,22-24 rue Quentin Bauchart,,,75008,Paris,contact@elyseesbiarritz.com,01 53 57 40 82,,http://www.elyseesbiarritz.com/,"48.8713811, 2.3025375"
"Institut Ramon Lull, , langues et cultures catalanes",3 rue de la Boétie,,,75008,Paris,,01 42 66 02 45,01 47 42 07 63,http://www.llull.cat/llull/,"48.8725864, 2.3100791"
Salle Pleyel,"252, rue du Faubourg Saint-Honoré",,,75008,Paris,rp@sallepleyel.fr,01 53 38 38 00,01 53 38 38 01,http://www.sallepleyel.fr,"48.87698, 2.300895"
Théâtre de la Madeleine,"19, rue de Surène",,,75008,Paris,contact@theatremadeleine.com,01 42 65 06 28,01 42 66 27 80,http://www.theatremadeleine.com,"48.8709956, 2.3205643"
Théâtre Michel,"38, rue des Mathurins",,,75008,Paris,administration@theatre-michel.fr,01 42 65 41 30,,http://www.theatre-michel.fr/,"48.8732879, 2.3254675"
Le Casino de Paris,"16, rue de Clichy",,,75009,Paris,jgomez@casinodeparis.fr,01 49 95 22 22,01 49 95 22 25,http://www.casinodeparis.fr,"48.878331, 2.33005"
Comédie de Paris,"42, rue Pierre Fontaine",,,75009,Paris,administration@comediedeparis.com,01 42 81 32 22,01 45 26 37 06,http://www.comediedeparis.com/,"48.8830076, 2.3332043"
Opéra National de Paris - Palais Garnier,"8, rue Scribe",,,75009,Paris,,01 40 01 80 54,,http://www.operadeparis.fr,"48.8719343, 2.3317666"
Théâtre des Nouveautés,"24, boulevard Poissonnière",,,75009,Paris,theatredesnouv@wanadoo.fr,01 47 70 52 77,01 45 23 30 37,http://www.theatredesnouveautes.fr/,"48.871425, 2.344873"
Théâtre Edouard VII,10 place Édouard VII,,,75009,Paris,contact@theatreedouard7.com,01 47 42 35 71,01 47 42 77 68,http://www.theatreedouard7.com,"48.87137, 2.329058"
Théâtre Mogador,"25, rue de Mogador",,,75009,Paris,contact@mogador.net,01 53 32 32 32,,http://www.mogador.net,"48.875286, 2.331204"
Bibliothèque Lancry à Paris,11 rue de Lancry,,,75010,Paris,bibliotheque.lancry@paris.fr,01 42 03 25 98,,,"48.869387, 2.360108"
Espace Château-Landon théâtre,"31, rue de Château-Landon",,,75010,Paris,information-cl@crl10.net,01 46 07 84 12,01 46 07 08 73,http://www.chateaulandon.com,"48.883307, 2.363922"
La Java,"105, rue du Faubourg-du-Temple",,,75010,Paris,administration@la-java.fr,01 42 02 20 52,01 40 18 14 58,http://www.la-java.fr/,"48.870925, 2.373905"
Point éphémère,"200, quai de Valmy",,,75010,Paris,info@pointephemere.org,,01 40 34 02 58,http://www.pointephemere.org,"48.881187, 2.368235"
Théâtre du Gymnase - Marie Bell,"38, boulevard Bonne-Nouvelle",,,75010,Paris,theatredugymnase@msn.com,01 42 46 15 11,01 45 23 19 24,http://www.theatredugymnase.com,"48.870841, 2.347769"
Ars Longa,"67, avenue Parmentier",,,75011,Paris,info.arslonga@gmail.com,01 43 55 47 71,,http://www.arslonga.info,"48.8639625, 2.375494"
Café de la Danse,"5, passage Louis-Philippe",,,75011,Paris,contact@cafedeladanse.com,01 47 00 57 59,01 48 05 65 22,http://www.cafedeladanse.com,"48.854099, 2.372899"
Les Disquaires,"6, rue des Taillandiers",,,75011,Paris,,01 40 21 94 60,,http://www.lesdisquaires.com/,"48.8538795, 2.3755058"
Espace†Turquetil Centre Culturel Franco-Japonais,8-10 passage Turquetil,,,75011,Paris,sachiko.hattori@ccfj-paris.org,01 43 48 83 64,01 43 48 00 38,http://www.ccfj-paris.org/,"48.8514222, 2.3928219"
La Loge,"77, rue de Charonne",,,75011,Paris,laloge.alice@gmail.com,,,http://www.lalogeparis.fr/,"48.8538774, 2.3815069"
La Scène Bastille,"2 bis, rue des Taillandiers",,,75011,Paris,contact@scenebastille.com,01 48 06 50 70,01 48 06 12 79,http://www.scenebastille.com,"48.853541, 2.375761"
Théâtre de la Bastille,"76, rue de la Roquette",,,75011,Paris,accueil@theatre-bastille.com,01 43 57 26 63,,http://www.theatre-bastille.com,"48.855821, 2.375481"
Théâtre de la Marionnette à Paris,"38, rue Basfroi",,,75011,Paris,info@theatredelamarionnette.com,01 44 64 79 70,01 44 64 79 72,http://www.theatredelamarionnette.com,"48.8556609, 2.3788964"
Centre Ressources Théâtre et Handicap,école différente de théâtre O Clair de la lune,163 rue de Charenton,,75012,Paris,information@crth.org,01 42 74 17 87,01 43 40 38 25,http://www.crth.org,"48.8446053, 2.3840184"
Palais Omnisport de Paris Bercy,"8, boulevard de Bercy",,,75012,Paris,,,,http://www.bercy.fr,"48.8401275, 2.3804432"
Théâtre de l'Opprimé,"78-80, rue du Charolais",,,75012,Paris,theatredelopprime@tdopp.com,01 43 45 81 20,,http://www.theatredelopprime.fr,"48.8431495, 2.3829504"
Théâtre Douze Maurice Ravel,"6, avenue Maurice-Ravel",,,75012,Paris,theatredouze@laligue.org,01 44 75 60 31,01 43 44 45 30,http://www.theatredouze.fr,"48.8415527, 2.4115664"
Batofar,"Face au 11, Quai François Mauriac",,,75013,Paris,contact@batofar.org,,,http://www.batofar.org,"48.8356845, 2.3753957"
La Dame de Canton,Port de la gare,Quai François Mauriac,,75013,Paris,public@damedecanton.com,01 53 61 08 49,0145 84 41 71,http://www.damedecanton.com,"48.8341379, 2.377319"
Théâtre des Cinq Diamants,"10, rue des Cinq Diamants",,,75013,Paris,info@theatre-5-diamants.fr,01 45 80 51 31,,http://www.theatre-5-diamants.fr/,"48.8298193, 2.3520009"
Bibliothèque Gutenberg à Paris,8 rue de la Montagne d'Aulas,,,75014,Paris,bibliotheque.gutenberg@paris.fr,01 45 54 69 76,,http://equipement.paris.fr/Bibliothèque_Gutenberg,"48.8402475, 2.2787776"
Théâtre 14 Jean-Marie Serreau,"20, avenue Marc Sangnier",,,75014,Paris,contact@theatre14.fr,01 45 45 49 77,,,"48.8262507, 2.3065106"
Théâtre de la Cité internationale,"17, boulevard Jourdan",,,75014,Paris,theatredelacite@theatredelacite.com,01 43 13 50 60,01 45 80 91 90,http://www.theatredelacite.com,"48.8200169, 2.3386933"
Agitakt,"21, avenue du Maine",,,75015,Paris,,01 45 44 78 75,,,"48.8435327, 2.3203248"
Théâtre Aire Falguière,"55, rue de la Procession",,,75015,Paris,vuemer1@orange.fr,01 40 43 92 73,,http://aire.falguiere.free.fr,"48.8365746, 2.309742"
Centre culturel coréen,2 avenue d'Iéna,,,75016,Paris,ccc@coree-culture.org,01 47 20 84 15,01 47 23 58 97,http://www.coree-culture.org,"48.8631469, 2.2919825"
Institut slovaque de Paris,125 rue du Ranelagh,,,75016,Paris,krizikova@mzv.sk,01 71 93 91 3,01 71 93 73 59,http://www.siparis.mfa.sk,"48.8560179, 2.2680298"
Bibliothèque Batignolles à Paris,18 rue des Batignolles,,,75017,Paris,bibliotheque.batignolles@paris.fr,01 44 69 18 30,01 44 69 18 29,,"48.8843495, 2.3219934"
Alambic comédie,"12, rue Neuve de la Chardonnière",,,75018,Paris,contact.alambicomedie@gmail.com,01 42 23 07 66,,http://www.alambic-comedie.com,"48.895254, 2.3482324"
La Boule Noire,"120, boulevard de Rochechouart",,,75018,Paris,jeanpaul.rosselin@lacigale.fr,01 49 25 81 75,01 42 23 67 04,http://www.laboule-noire.fr,"48.882283, 2.3401548"
La Cigale,"120, boulevard de Rochechouart",,,75018,Paris,accueil@lacigale.fr,01 49 25 81 75,01 42 23 67 04,http://www.lacigale.fr,"48.882291, 2.340157"
Le Grand Parquet,20 bis rue du Département,,,75018,Paris,francois.grosjean@legrandparquet.net,01 40 05 01 50,,http://www.legrandparquet.net/,"48.8860664, 2.3637543"
Sudden Théâtre,"14 bis, rue Sainte-Isaure",,,75018,Paris,sudden@wanadoo.fr,01 42 62 35 00,01 42 57 40 74,http://www.suddentheatre.fr,"48.8940768, 2.3443201"
Théâtre de Verre,17 rue de la Chapelle,,,75018,Paris,theatredeverre@hotmail.fr,09 52 68 84 16,,http://www.theatredeverre.fr/,"48.8915686, 2.3596921"
Le Trianon,"80, boulevard Rochechouart",,,75018,Paris,contact@letrianon.fr,01 44 92 78 00,01 72 70 36 02,http://www.letrianon.fr/,"48.882877, 2.34311"
Bibliothèque Claude Lévi-Strauss à Paris,41 avenue de Flandre,,,75019,Paris,bibliotheque.claude.levi-strauss@paris.fr,01 40 35 96 46,,,"48.8869416, 2.3718418"
Bibliothèque Place des Fêtes à Paris,18 rue Janssen,,,75019,Paris,bibliotheque.place-des-fetes@paris.fr,01 42 49 55 90,,,"48.8793745, 2.397682"
Centre d'animation Mathis,"15, rue Mathis",,,75019,Paris,camathis@laligue.org,01 40 34 50 80,,,"48.8907598, 2.3749563"
Glazart,7-15 Avenue de la Porte de la Villette,,,75019,Paris,hello@glazart.com,01 40 36 55 65,01 40 36 09 50,http://www.glazart.com,"48.899288, 2.386694"
Théâtre Clavel,"3, rue Clavel",,,75019,Paris,contact@theatre-clavel.com,,01 42 38 11 35,http://www.theatre-clavel.com,"48.8744026, 2.385113"
Théâtre de la Providence,"73, rue Rébeval",,,75019,Paris,thprovidence@multimania.com,01 42 00 25 75,01 42 00 27 57,http://thprovidence.multimania.com,"48.874563, 2.38142"
Le Zénith de Paris,Parc de la Villette,"211, avenue Jean Jaurès",,75019,Paris,contact@le-zenith.com,01 44 52 54 60,01 42 49 84 77,http://www.le-zenith.com,"48.894264, 2.393149"
Comédie de la Passerelle,"102, rue Orfila",,,75020,Paris,comediedelapasserelle@yahoo.fr,01 43 15 03 70,,http://comedie.passerelle.free.fr/,"48.8679043, 2.3998183"
L'Ogresse Théâtre de marionnettes,"4, rue des Prairies",,,75020,Paris,,01 46 36 95 15,,http://www.ogresse.org,"48.8612287, 2.4047988"
Théâtre des Quarts d'Heures,"10, square des Cardeurs",,,75020,Paris,http://www.thqh.fr,01 40 09 17 73,09 56 75 08 16,,"48.858166, 2.407528"
Centre de Russie pour la science et la culture,61 rue Boissière,,,75116,Paris,ruscentr@wanadoo.fr,01 44 34 79 79,01 47 27 12 45,http://www.russiefrance.org,"48.868275, 2.2875107"
Palais de Tokyo - Site de création contemporaine,"13, rue du Président Wilson",,,75116,Paris,,01 47 23 54 01,,http://www.palaisdetokyo.com,"48.8641085, 2.29646374102"
Centre India,La route des Indes,7 rue d'Argenteuil,,75001,Paris,,01 45 42 72 13,,,"48.8646375, 2.3338723"
Église Saint Roch,24 rue Saint Roch,,,75001,Paris,,01 42 44 13 20,01 42 44 13 19,,"48.8644506, 2.3317141"
Le Scop'Club,5 avenue de l'Opéra,,,75001,Paris,infos@lescopclub.com,01 42 60 64 45,,http://www.lescopclub.com/,"48.864531, 2.334892"
